Application,ProcessID,SwapChainAddress,TimeInSeconds,MsBetweenPresents,Dropped
gpuview_capture_target.exe,1,chain-1,0.55036890000000,6.12390000000000,0
gpuview_capture_target.exe,1,chain-1,0.55600410000000,5.63520000000000,0
gpuview_capture_target.exe,1,chain-1,0.56300620000000,7.00210000000000,0
gpuview_capture_target.exe,1,chain-1,0.57133850000000,8.33230000000000,0
gpuview_capture_target.exe,1,chain-1,0.57830130000000,6.96280000000000,0
gpuview_capture_target.exe,1,chain-1,0.58456720000000,6.26590000000000,0
gpuview_capture_target.exe,1,chain-1,0.59127420000000,6.70700000000000,0
gpuview_capture_target.exe,1,chain-1,0.59798110000000,6.70690000000000,0
gpuview_capture_target.exe,1,chain-1,0.60539340000000,7.41230000000000,0
gpuview_capture_target.exe,1,chain-1,0.61207190000000,6.67850000000000,0
gpuview_capture_target.exe,1,chain-1,0.61917960000000,7.10770000000000,0
gpuview_capture_target.exe,1,chain-1,0.62623890000000,7.05930000000000,0
gpuview_capture_target.exe,1,chain-1,0.63330510000000,7.06620000000000,0
gpuview_capture_target.exe,1,chain-1,0.64043990000000,7.13480000000000,0
gpuview_capture_target.exe,1,chain-1,0.64710330000000,6.66340000000000,0
gpuview_capture_target.exe,1,chain-1,0.65349290000000,6.38960000000000,0
gpuview_capture_target.exe,1,chain-1,0.66127200000000,7.77910000000000,0
gpuview_capture_target.exe,1,chain-1,0.66782630000000,6.55430000000000,0
gpuview_capture_target.exe,1,chain-1,0.67485610000000,7.02980000000000,0
gpuview_capture_target.exe,1,chain-1,0.68151050000000,6.65440000000000,0
gpuview_capture_target.exe,1,chain-1,0.68879670000000,7.28620000000000,0
gpuview_capture_target.exe,1,chain-1,0.69562200000000,6.82530000000000,0
gpuview_capture_target.exe,1,chain-1,0.70268120000000,7.05920000000000,0
gpuview_capture_target.exe,1,chain-1,0.70975800000000,7.07680000000000,0
gpuview_capture_target.exe,1,chain-1,0.71680790000000,7.04990000000000,0
gpuview_capture_target.exe,1,chain-1,0.72333190000000,6.52400000000000,0
gpuview_capture_target.exe,1,chain-1,0.73015200000000,6.82010000000000,0
gpuview_capture_target.exe,1,chain-1,0.73710090000000,6.94890000000000,0
gpuview_capture_target.exe,1,chain-1,0.74499250000000,7.89160000000000,0
gpuview_capture_target.exe,1,chain-1,0.75106790000000,6.07540000000000,0
gpuview_capture_target.exe,1,chain-1,0.75866520000000,7.59730000000000,0
gpuview_capture_target.exe,1,chain-1,0.76498930000000,6.32410000000000,0
gpuview_capture_target.exe,1,chain-1,0.77237360000000,7.38430000000000,0
gpuview_capture_target.exe,1,chain-1,0.77916580000000,6.79220000000000,0
gpuview_capture_target.exe,1,chain-1,0.78649290000000,7.32710000000000,0
gpuview_capture_target.exe,1,chain-1,0.79290950000000,6.41660000000000,0
gpuview_capture_target.exe,1,chain-1,0.80021960000000,7.31010000000000,0
gpuview_capture_target.exe,1,chain-1,0.80695820000000,6.73860000000000,0
gpuview_capture_target.exe,1,chain-1,0.81383250000000,6.87430000000000,0
gpuview_capture_target.exe,1,chain-1,0.82111930000000,7.28680000000000,0
gpuview_capture_target.exe,1,chain-1,0.82784990000000,6.73060000000000,0
gpuview_capture_target.exe,1,chain-1,0.83510960000000,7.25970000000000,0
gpuview_capture_target.exe,1,chain-1,0.84188620000000,6.77660000000000,0
gpuview_capture_target.exe,1,chain-1,0.84896370000000,7.07750000000000,0
gpuview_capture_target.exe,1,chain-1,0.85570630000000,6.74260000000000,0
gpuview_capture_target.exe,1,chain-1,0.86317050000000,7.46420000000000,0
gpuview_capture_target.exe,1,chain-1,0.86983340000000,6.66290000000000,0
gpuview_capture_target.exe,1,chain-1,0.87700440000000,7.17100000000000,0
gpuview_capture_target.exe,1,chain-1,0.88325440000000,6.25000000000000,0
gpuview_capture_target.exe,1,chain-1,0.88972540000000,6.47100000000000,0
gpuview_capture_target.exe,1,chain-1,0.89669530000000,6.96990000000000,0
gpuview_capture_target.exe,1,chain-1,0.90372220000000,7.02690000000000,0
gpuview_capture_target.exe,1,chain-1,0.91086610000000,7.14390000000000,0
gpuview_capture_target.exe,1,chain-1,0.91766960000000,6.80350000000000,0
gpuview_capture_target.exe,1,chain-1,0.92495620000000,7.28660000000000,0
gpuview_capture_target.exe,1,chain-1,0.93271030000000,7.75410000000000,0
gpuview_capture_target.exe,1,chain-1,0.93840620000000,5.69590000000000,0
gpuview_capture_target.exe,1,chain-1,0.94509040000000,6.68420000000000,0
gpuview_capture_target.exe,1,chain-1,1.03740650000000,92.31609999999999,0
gpuview_capture_target.exe,1,chain-1,1.03828290000000,0.87640000000000,0
gpuview_capture_target.exe,1,chain-1,1.04242430000000,4.14140000000000,0
